1,192,218,1,29,561,1
0,218,251,0,35,60,-1
1,197,221,-1,11,1312,-1
1,192,219,-1,22,1359,-1
1,198,223,1,29,362,1
-1,166,188,-1,21,1536,1
1,195,221,1,25,694,-1
-1,182,199,-1,21,1678,1
-1,189,199,0,27,385,1
1,205,232,-1,24,1416,-1
0,206,246,0,29,314,-1
-1,185,207,-1,23,1497,1
-1,172,183,-1,24,1383,1
-1,169,183,-1,24,1034,1
-1,185,197,0,29,178,1
1,215,232,0,30,434,-1
-1,158,184,1,29,162,1
-1,190,207,0,27,648,1
0,195,235,0,28,481,-1
-1,192,200,0,32,427,1
1,202,220,0,31,542,-1
1,184,213,0,32,12,-1
1,190,215,-1,22,1179,-1
-1,178,193,-1,21,1078,-1
-1,185,200,0,31,213,1
1,191,218,-1,19,1855,-1
0,196,235,1,32,47,-1
1,198,221,-1,22,1409,-1
0,207,247,1,27,1065,-1
0,201,244,0,25,1111,1
